"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","category","responses","question_order","name1","name2","modifier","adjective","object","frame","frame_type"
"5814","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">Consent to Participate</h2>
    <p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. You are currently piloting an internal version of this study; you will not be compensated for your participation, nor will your data be shared or used in any way.</p>
    <p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p>
  </div>","0","html-button-response","0","5817","0.0-0.0","irb","","","","","","","","",""
"32843","David is telling Sarah about a recently-received birthday gift and says: <strong>""I got a book for my birthday and when I opened it I was really angry.""</strong>","","likert-stim","1","38661","0.0-1.0-0.0","mainTrial","{""certainty"":5,""valence"":6,""age"":2,""natural"":6}","[""certainty"",""valence"",""age"",""natural""]","David","Sarah","really","angry","book","8","birthday_gift_emotion"
"27065","Zara is telling Maria about a recent theatrical production and says: <strong>""I was disappointed by the lead actor's performance. I was extremely surprised!""</strong>","","likert-stim","2","65727","0.0-1.0-0.1","mainTrial","{""valence"":5,""natural"":7,""certainty"":7,""age"":4}","[""valence"",""natural"",""certainty"",""age""]","Zara","Maria","","disappointed","actor","F8","filler_theatrical_performance"
"30894","Yuki is telling Jose about a recently-received birthday gift and says: <strong>""I got a quilt for my birthday and when I opened it I was truly ecstatic.""</strong>","","likert-stim","3","96621","0.0-1.0-0.2","mainTrial","{""valence"":7,""certainty"":6,""natural"":7,""age"":5}","[""valence"",""certainty"",""natural"",""age""]","Yuki","Jose","truly","ecstatic","quilt","8","birthday_gift_emotion"
"26396","Aisha is telling Bob about the house of a recent date and says: <strong>""The living room was really filthy.""</strong>","","likert-stim","4","123017","0.0-1.0-0.3","mainTrial","{""certainty"":5,""age"":5,""natural"":7,""valence"":4}","[""certainty"",""age"",""natural"",""valence""]","Aisha","Bob","really","filthy","living room","7","date_location"
"25291","Chris is telling Aisha about a recent meal and says: <strong>""I made some salad the other night and it turned out honestly bad.""</strong>","","likert-stim","5","148309","0.0-1.0-0.4","mainTrial","{""age"":5,""valence"":7,""certainty"":5,""natural"":1}","[""age"",""valence"",""certainty"",""natural""]","Chris","Aisha","honestly","bad","salad","2","meal_at_place"
"69467","Bob is telling Jim about the new library in town and says: <strong>""I went and saw the new library yesterday and it is very enormous.""</strong>","","likert-stim","6","217777","0.0-1.0-0.5","mainTrial","{""valence"":7,""age"":6,""natural"":1,""certainty"":6}","[""valence"",""age"",""natural"",""certainty""]","Bob","Jim","very","enormous","library","4","new_building"
"19288","David is telling Fatima about a new movie release and says: <strong>""Have you seen the new action movie? I was bored the whole time. Not at all surprised I felt that way.""</strong>","","likert-stim","7","237066","0.0-1.0-0.6","mainTrial","{""natural"":7,""certainty"":1,""valence"":6,""age"":4}","[""natural"",""certainty"",""valence"",""age""]","David","Fatima","","bored","action movie","F7","filler_movie_release"
"20309","Jessica is telling Amara about a new bar in town and says: <strong>""I was impressed by their Margaritas.""</strong>","","likert-stim","8","257374","0.0-1.0-0.7","mainTrial","{""valence"":4,""natural"":7,""certainty"":4,""age"":5}","[""valence"",""natural"",""certainty"",""age""]","Jessica","Amara","","impressed","Margaritas","F1","filler_bar_cocktails"
"25410","Jessica is telling Priya about a recent viewing party and says: <strong>""Listen, I felt annoyed by the professor's lecture we watched last night.""</strong>","","likert-stim","9","282785","0.0-1.0-0.8","mainTrial","{""natural"":3,""age"":2,""valence"":6,""certainty"":2}","[""natural"",""age"",""valence"",""certainty""]","Jessica","Priya","","annoyed","professor's lecture","F5","filler_viewing_party"
"21816","Yuki is telling Fatou about a recent meal and says: <strong>""I made some pizza the other night and it turned out  delicious.""</strong>","","likert-stim","10","304601","0.0-1.0-0.9","mainTrial","{""valence"":5,""natural"":7,""certainty"":3,""age"":4}","[""valence"",""natural"",""certainty"",""age""]","Yuki","Fatou","","delicious","pizza","2","meal_at_place"
"24247","Sofia is telling Yuki about a some recent school drama and says: <strong>""When I read Fatima's email I was really ecstatic.""</strong>","","likert-stim","11","328848","0.0-1.0-0.10","mainTrial","{""certainty"":2,""valence"":6,""age"":4,""natural"":2}","[""certainty"",""valence"",""age"",""natural""]","Sofia","Yuki","really","ecstatic","email","9","drama_comment"
"25000","Alice is telling Fatou about a recently-acquired shirt and says: <strong>""The shirt I got at the auction is pretty clean.""</strong>","","likert-stim","12","353849","0.0-1.0-0.11","mainTrial","{""natural"":7,""valence"":4,""age"":6,""certainty"":5}","[""natural"",""valence"",""age"",""certainty""]","Alice","Fatou","pretty","clean","shirt","6","acquired_object"
"16648","Mei is recounting a recent date to Alice and says: <strong>""The food I ordered at the pasta place was so disgusting.""</strong>","","likert-stim","13","370497","0.0-1.0-0.12","mainTrial","{""certainty"":6,""natural"":7,""valence"":7,""age"":2}","[""certainty"",""natural"",""valence"",""age""]","Mei","Alice","so","disgusting","pasta","3","date_food"
